Family,Major_Control,Sub-part,Title,Description,conlow,conmed,conhigh,integlow,integmed,integhigh,availlow,availmed,availhigh
ACCESS CONTROL,AC-1,AC-1,ACCESS CONTROL POLICY AND PROCEDURES,The organization:,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1a,ACCESS CONTROL POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1a.1,ACCESS CONTROL POLICY AND PROCEDURES,"An access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1a.2,ACCESS CONTROL POLICY AND PROCEDURES,Procedures to facilitate the implementation of the access control policy and associated access controls; and,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1b,ACCESS CONTROL POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1b.1,ACCESS CONTROL POLICY AND PROCEDURES,Access control policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-1,AC-1b.2,ACCESS CONTROL POLICY AND PROCEDURES,Access control procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-2,AC-2,ACCOUNT MANAGEMENT,The organization:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2a,ACCOUNT MANAGEMENT,Identifies and selects the following types of information system accounts to support organizational missions/business functions: [Assignment: organization-defined information system account types];,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2b,ACCOUNT MANAGEMENT,Assigns account managers for information system accounts;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2c,ACCOUNT MANAGEMENT,Establishes conditions for group and role membership;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2d,ACCOUNT MANAGEMENT,"Specifies authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account;",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2e,ACCOUNT MANAGEMENT,Requires approvals by [Assignment: organization-defined personnel or roles] for requests to create information system accounts;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2f,ACCOUNT MANAGEMENT,"Creates, enables, modifies, disables, and removes information system accounts in accordance with [Assignment: organization-defined procedures or conditions];",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2g,ACCOUNT MANAGEMENT,Monitors the use of information system accounts;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2h,ACCOUNT MANAGEMENT,Notifies account managers:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2h.1,ACCOUNT MANAGEMENT,When accounts are no longer required;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2h.2,ACCOUNT MANAGEMENT,When users are terminated or transferred; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2h.3,ACCOUNT MANAGEMENT,When individual information system usage or need-to-know changes;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2i,ACCOUNT MANAGEMENT,Authorizes access to the information system based on:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2i.1,ACCOUNT MANAGEMENT,A valid access authorization;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2i.2,ACCOUNT MANAGEMENT,Intended system usage; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2i.3,ACCOUNT MANAGEMENT,Other attributes as required by the organization or associated missions/business functions;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2j,ACCOUNT MANAGEMENT,Reviews accounts for compliance with account management requirements [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2,AC-2k,ACCOUNT MANAGEMENT,Establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-2 (1),AC-2 (1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,The organization employs automated mechanisms to support the management of information system accounts.,,X,X,,X,X,,,
ACCESS CONTROL,AC-2 (2),AC-2 (2),REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,The information system automatically [Selection: removes; disables] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,,X,X,,X,X,,,
ACCESS CONTROL,AC-2 (3),AC-2 (3),DISABLE INACTIVE ACCOUNTS,The information system automatically disables inactive accounts after [Assignment: organization-defined time period].,,X,X,,X,X,,,
ACCESS CONTROL,AC-2 (4),AC-2 (4),AUTOMATED AUDIT ACTIONS,"The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies [Assignment: organization-defined personnel or roles].",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-2 (5),AC-2 (5),INACTIVITY LOGOUT,The organization requires that users log out when [Assignment: organization-defined time-period of expected inactivity or description of when to log out].,+,+,X,+,+,X,+,+,X
ACCESS CONTROL,AC-2 (6),AC-2 (6),DYNAMIC PRIVILEGE MANAGEMENT,The information system implements the following dynamic privilege management capabilities: [Assignment: organization-defined list of dynamic privilege management capabilities].,,,,,,,,,
ACCESS CONTROL,AC-2 (7),AC-2 (7),ROLE-BASED SCHEMES,The organization:,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (7),AC-2 (7)(a),ROLE-BASED SCHEMES,Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles;,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (7),AC-2 (7)(b),ROLE-BASED SCHEMES,Monitors privileged role assignments; and,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (7),AC-2 (7)(c),ROLE-BASED SCHEMES,Takes [Assignment: organization-defined actions] when privileged role assignments are no longer appropriate.,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (8),AC-2 (8),DYNAMIC ACCOUNT CREATION,The information system creates [Assignment: organization-defined information system accounts] dynamically.,,,,,,,,,
ACCESS CONTROL,AC-2 (9),AC-2 (9),RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,The organization only permits the use of shared/group accounts that meet [Assignment: organization-defined conditions for establishing shared/group accounts].,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (10),AC-2 (10),SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,The information system terminates shared/group account credentials when members leave the group.,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-2 (11),AC-2 (11),USAGE CONDITIONS,The information system enforces [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined information system accounts].,,,X,,,X,,,
ACCESS CONTROL,AC-2 (12),AC-2 (12),ACCOUNT MONITORING / ATYPICAL USAGE,The organization:,+,+,X,+,+,X,,,
ACCESS CONTROL,AC-2 (12),AC-2 (12)(a),ACCOUNT MONITORING / ATYPICAL USAGE,Monitors information system accounts for [Assignment: organization-defined atypical usage]; and,+,+,X,+,+,X,,,
ACCESS CONTROL,AC-2 (12),AC-2 (12)(b),ACCOUNT MONITORING / ATYPICAL USAGE,Reports atypical usage of information system accounts to [Assignment: organization-defined personnel or roles].,+,+,X,+,+,X,,,
ACCESS CONTROL,AC-2 (13),AC-2 (13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.,+,+,X,+,+,X,,,
ACCESS CONTROL,AC-3,AC-3,ACCESS ENFORCEMENT,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-3 (1),AC-3 (1),RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS,[Withdrawn: Incorporated into AC-6].,,,,,,,,,
ACCESS CONTROL,AC-3 (2),AC-3 (2),DUAL AUTHORIZATION,The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3),MANDATORY ACCESS CONTROL,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy:,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(a),MANDATORY ACCESS CONTROL,Is uniformly enforced across all subjects and objects within the boundary of the information system;,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b),MANDATORY ACCESS CONTROL,Specifies that a subject that has been granted access to information is constrained from doing any of the following;,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b)(1),MANDATORY ACCESS CONTROL,Passing the information to unauthorized subjects or objects;,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b)(2),MANDATORY ACCESS CONTROL,Granting its privileges to other subjects;,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b)(3),MANDATORY ACCESS CONTROL,"Changing one or more security attributes on subjects, objects, the information system, or information system components;",,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b)(4),MANDATORY ACCESS CONTROL,Choosing the security attributes and attribute values to be associated with newly created or modified objects; or,,,,,,,,,
ACCESS CONTROL,AC-3 (3),AC-3 (3)(b)(5),MANDATORY ACCESS CONTROL,Changing the rules governing access control; and,,,,,,,,,
